device_id,pear,cov,meta_id
10347320,0.950387558963031,23.3906744931307,38
10088310,0.970468525503497,24.3685367058074,39
10234637,0.953141998235623,23.6995737128628,40
10347328,0.963285777721756,22.6367449188562,43
10801141,0.946507891073472,24.1998119301334,44
10347362,0.96921377821982,24.1751202462934,45
10347366,0.966187746905872,23.0065764309089,47
10760820,0.959965045217217,20.6775757636384,48
10347313,0.963498371110403,25.1522147761749,49
10350049,0.915610362204399,23.2998911130431,50
10347384,0.96383765888438,25.0617348057058,51
10760822,0.955266363631267,24.106009550976,53
10350002,0.94239642143906,24.8033980574875,54
10347327,0.940345993059126,25.0105297424366,55
10350005,0.967561733810075,22.4410641975108,56
10801134,0.959330540626531,23.5415366603054,58
10760709,0.961907477703306,22.7422209455321,59
10347394,0.955861101597165,24.0399537699639,64
10760710,0.970911265918584,23.1429670256209,66
10347356,0.96506769745936,24.0890671592535,67
10610854,0.96322713108481,20.2217590276346,69
